name,test_acc,test_bal_acc,test_f1_macro,test_f1_weighted,overfit_gap
lr_1e-3,0.6403081914030819,0.4921039631962503,0.5125620733317539,0.6220722889156913,0.3597
normalized,0.5896188158961881,0.4365946625997707,0.45045820374365925,0.5650052911697481,0.3949
class_weights,0.6265206812652068,0.5221386561933118,0.5339954413659254,0.6212919374792426,0.3633
norm+cw,0.5275750202757502,0.4434738043235073,0.45093287146259137,0.5234800497013633,0.411
lr_5e-4,0.6439578264395782,0.4864930389878483,0.4970778100511643,0.6218317313096801,0.3503
lr_2e-4,0.6390916463909164,0.4654264655816181,0.49007225450602415,0.6216253375651372,0.306
cw_ch_3_lr_1e-3,0.6017842660178426,0.46680745047808037,0.4746473775471953,0.5869855284440689,0.3982
cw_ch_4_lr_1e-3,0.5600162206001622,0.4374302885295086,0.44652951163005994,0.5540715840756427,0.438
cw_ch_6_lr_1e-3,0.6407137064071371,0.4992377342846214,0.5012481827255446,0.6200916402722934,0.3593
lr_5e-5,0.6467964314679643,0.38380829183529974,0.3790931261141126,0.5924674563828217,0.0258
lr_1e-5,0.5218978102189781,0.2528638798952572,0.2430701403006772,0.43441607817365097,-0.0001
lr_5e-3,0.6666666666666666,0.5193462149845331,0.5363139943901868,0.6493844532620865,0.3333
lr_1e-2,0.3240064882400649,0.07724867724867725,0.04519852457973841,0.16850487899718708,-0.0036
lr_5e-2,0.37875101378751014,0.1243765719549004,0.07627387754712615,0.2306774565439776,-0.0083
